#name,Babylon English-Korean
#version,2.4.2
#wordcount,68893
#synwordcount,61071
#idxfilesize,1256836
#author,Babylon Ltd.
#email,linguistic-support@babylon.com
#description,This comprehensive English-Korean dictionary contains words, phrases, abbreviations & acronyms. It includes terms from a vast variety of subjects, such as Medicine, Electronics, Zoology, Business, Computers, Religion, etc., and features both the American and British forms of spelling.
#sametypesequence,h
#sourceLang,English
#targetLang,Korean
#,n. 번호임을 나타내는 기호
%,n. 퍼센트를 나타내는 기호
&,n. 
batting,n. 탄 솜, 타격, 타구
batting order,n. 타격순
battle,n. 전투, 투쟁; v. 싸우다, 분투하다
battle array,전진
battle ax,n. 싸움에 쓰던 큰 도끼, 사나운 여자, 여장부, 전부, 잔소리 많은 여자
battle cry,구호, 함성, 표어
battle dress,전투복
battle with,v. 싸우다
battle zone,싸우는 곳
battledore,n. 배틀도어 채
battlefield,n. 싸움터, 투쟁의 장, 전지
battlefront,n. 전방, 전선, 일선, 적군과 가장 가까운 지역
battleground,n. 싸움터, 전장, 투쟁의 장, 싸움이 벌어진 장소
battlement,n. 총안이 있는 흉벽
battler,n. 악전 고투하는 사람
battleship,n. 전함
battue,n. 사냥몰이
batty,adj. 박쥐의, 박쥐와 같은, 머리가 돈
bauble,n. 값싼 물건
baud,n. 보오드
baud rate,보오드 레이트
Bauhaus,n. 영국 락 밴드; 현대 건축 디자인 학교(1900년대 초에 독일에서 발전한 단순성과 기능성을 강조한 건축학교)
baulk,n. 장애, 도약하는 사람이 보크라인을 지난 후의 도약 중지, 갈다가 남은 이랑, 죽각재, 스타트 라인, 트랙 경기의 스타트 라인; v. 갑자기 서다, 멈추어 서다, 망설이다, 주저하다, 보크하다, 방해하다, 꺾다, 실망시키다, 놓치다, 피하다
bauxite,n. 보크사이트
Bavaria,n. 바이에른
Bavarian,adj. 바이에른산의, 바이에른의
bawbee,n. 반페니
bawd,n. 뚜쟁이
bawdily,adv. 음란하게, 음탕하게
bawdiness,n. 음담
bawdry,n. 음담
bawdy,adj. 음란한, 음탕한, 외설적인
bawdy talk,n. 음담
bawl,v. 고함치다, 소리치다
bawl for help,v. 도와달라고 소리치다
bawl out,퍼부다, 야단치다>
bawler,n. 외치는 사람, 야단치는 사람
bawling,n. 외치기
bawling out,n. 마구 소리 지르기, 몹시 꾸짖기
bay,n. 만, 작은 만, 세면이 산으로 둘러싸인 평지, 기둥과 기둥 사이의 한 구획, 건초두는 곳, 측선 종점, 궁지, 구렁말; v. 짖다, 짖으며 둘러싸다, 짖으며 가리키다; adj. 적갈색, 밤색
bay leaf,베이 리프, 로리에
bay the moon,달을 향해 짖다, 무익한 일을 꾀하다
bay tree,n. 월계수
bayonet,n. 총검; v. 총검으로 찌르다, 총검으로 죽이다
bayonets,n. 병인
bayou,n. 늪 모양의 후미
bazaar,n. 시장, 바자; 자선시
bazooka,n. 바주카포
BB,n. 공기총에 이용되는 0.18인치의 금속 총탄
BBC,영국 방송 협회, 영국 방송국>'BBC (British Broadcasting Corporation); 보스턴 컬리지,메세추세츠의 체스넛 힐에 있는 사립 대학교BC (Boston College)
BCWipe,n. 복구할 수 없이 컴퓨터 파일을 삭제하는 프로그램
be,v. 이다, ...이 되다, 있다, 생존하다, 존재하다, 일어나다, 지속하다, 되다, ...되어 있다, ...하다, ...하고 있는 중이다, ...하기로 되어 있다, ...할 작정이다, ...해야 한다, 가령 ...이라고 하면
be a bag of bones,말라빠진 사람, 말라빠진 동물
be a cut above,v. 한수 높다
be a distinction,v. 유별하다
be a father to,...의 아버지가 되다 (대개 생물학적으로); 아버지 처럼 행동하다, 충고하다, 보호하다, 양육하다
be a kind of,...의 종류이다, 일종의 ...이다
be a man,사람이 되다, 진짜남성 같이 강해지다; 신사가 되다
be able,...할 수 있다
be absorbed in a book,v. 책에 열중하다, 책에 몰두하다
be accepted,용인되다
be accompanied,데리다
be accused,고발 당하다, 고소 당하다, 책망하다
be accused of,...를 비난하다
be accustomed to,...에 익숙해지다
be acidulous,v. 시금하다
be acquainted,v. 알다
be acquainted with,...를 알다
be active,활약하다
be afflicted with,v. 시달리다
be afraid,두려워하다; 걱정하다, 염려하다
be alike,v. 비슷하다
be all on wires,안절부절 못하고 있다
be an example,예시하다
be apt to,v. 쉽다
be apt to feel,v. 타다
be at a disadvantage,불리한 입장에 있다
be at a loss,헤매다
be at bay,v. 쫓겨 몰리다, 궁지에 몰리다
be at cross purposes,서로 오해하다
be at one's zenith,성공의 절정에 있다, 영광의 절정에 있다, 최고조에 달해 있다
be at the bottom of,착수하다, 시작하다; ...의 밑바닥에 있다, 최악의 경우에 처하다
be at the wheel,타륜을 잡다, 지배권을 쥐다
be at war,v. 교전중이다
be backward,v. 뒤떨어지다
be bad tempered,v. 기분이 나쁘다, 기분이 언짢다, 심술궂다, 성미가 까다롭다
be bad with,v. ...을 앓다
be baggy,v. 헐렁헐렁하다, 헐렁하다
be based,입각하다
be beautiful,v. 염려하다
be behind time,늦다, 지각하다
be behindhand with,v. ...이 밀려 있다
be beneficial,v. 좋다
be beside oneself,v. 제정신을 잃다, 굉장히 흥분되다
be beside the question,v. 문제 밖에
be beyond one's strength,v. 부치다
be big,v. 크다
be built,v. 서다
be capable of,할 수 있다
be caught,v. 잡히다
be caught in the act,현장에서 잡히다
be charged with,v. 띠다
be childish,v. 유치하다
be cloudy,v. 흐리다
be coarse,v. 깔쭉깔쭉하다
be cold,차다, 춥다
be completely destroyed,v. 전멸하다
be composed,침착하다
be conceited,v. 자부하다
be concerned about,걱정하다
be confined,갇히다
be congested,v. 붐비다
be cooked,v. 익다
be covered,뒤덮이다
be crossed in one's love,v. 실연하다
be crushed,v. 우그러지다
be decided,v. 정해지다
be dependent on,기대다, 의지하다
be deposited,침전시키다
be deranged,v. 혼란하다
be destroyed by fire,v. 소실하다
be difficult,v. 어렵다
be dim,v. 흐리다
be disadvantageous,v. 불리하다
be dismissed from,면제하다, 석방하다; 해고되다
be distant,v. 멀다
be distorted,v. 실쭉하다, 일그러지다
be distressed,v. 속상해하다
be down on one's luck,곤경에 빠지다
be dressed in one's best,v. 성장하다
be due,싸다, 인하다
be due to,v. 의하다
be dull,v. 침체하다
be eager to,갈망하다, 열망하다
be early,v. 이르다, 빠르다
be easy,v. 쉽다
be empty,v. 비다
be enough,v. 자라다, 만하다
be entranced with,v. ...에 황홀해지다
be equal,진배없다
be excellent,v. 탁월하다
be exhausted,지치다, 기진하다
be exquisite,v. 절기하다
be extant,v. 잔존하다
be extreme,v. 심하다
be familiar with,익숙하다, 잘하다, 능숙하다
be far,v. 멀다
be fast,v. 빠르다, 속하다
be few,v. 적다
be finished,마치다, 결론짓다
be fit,v. 적합하다
be floored,v. 손들다
be fond of,애호하다
be for,...편에 서다, ...를 편들다
be forced to,억지로 하게 하다, 강요당하다
be formed,이루어지다
be found,들키다, 있다
be full of beans,원기 왕성하여
be fun,즐겁다
be gentle,v. 얌전하다, 유화하다
be getting warm,v. 점점 따뜻해지다
be gone,없다
be good,v. 얌전하다, 좋다
be gorgeous,v. 현란하다
be gotten around,v. 돌리다
be grave,v. 무겁다
be hard of hearing,v. 멀다
be heavy,v. 무겁다
be held,v. 있다, 잡히다
be high,v. 높다
be ill,앓다
be impertinent,v. 건방지다
be important,v. 무겁다
be impossible,v. 무리하다
be in agony,v. 고민하다
be in and out,안팎으로
be in bad,v. 어려움을 겪고 있다, 불쾌함을 당하다, 불쾌한 경우를 당하다, 미움을 받다
be in danger,위험에 처하다
be in debt,빚지다, 빚에 빠지다
be in demand,수요가 있다
be in full dress,v. 정장하다
be in honor bound,v. 명예를 걸고 ...해야 하다
be in labor,분만중
be in mourning,v. 입다
be in the balance,어느 쪽으로도 정해지지 않다
be in the black,v. 흑자이다
be in the same boat,한배를 타다, 같은 처지에 처하다, 다른 사람과 같은 곤경에 빠지다
be in trouble,곤란한 처지에 있다, 꾸지람 듣다, 말썽이 나 있다, 말썽이 체포당하게 되어 있다, 임신중이다
be in ward to,v. ...의 후견을 받고 있다
be inexpensive,v. 싸다
be infected,오르다
be interested in,주의하다
be introduced,v. 전해지다
be involved in,관련되다, 연계하다
be irritated,초조하게 하다
be jealous,시기하다
be jealous of,질투하다
be left undone,v. 밀리다
be liberal,v. 활수하다
be lifted up,v. 떠들썩하다
be like,v. 답다
be littered with,v. 산란하다
be low,v. 낮다
be mad about,v. 바치다
be mild,v. 화하다
be mixed,섞이다
be more than ample,v. 살다
be much worried,v. 애타다
be nailed,v. 박히다
be near,v. 가깝다
be near the end,결론에 근접하다, 종결에 근접하다
be new,v. 새롭다
be noisy,v. 떠들썩하다
be not,v. 않다, 아니다
be not acquainted with,v. 모르다
be not concerned with,v. 모르다
be of help to,v. 도움이 되다
be off,휴가를 가다, 쉬다; 떠나다, 출발하다
be on beam,v. 웃음지어 보이다
be on wires,흥분하고 있다
be oneself again,자신을 되찾다, 건강을 회복하다
be opposed,v. 거슬리다
be opposite,v. 마주보다
be out,아웃이 되다
be overrun,v. 휩쓸리다
be placed,처하다
be pleasant,v. 즐겁다
be pockmarked,v. 얽다
be poor,v. 어렵다
be pressed down,잠자다
be profitable,v. 벌리다
be proper,v. 상당하다, 적정하다
be proud of,v. 재다
be punished,v. 벌받다
be pushed,v. 밀리다
be put to it,v. 싸다
be put to shame,v. 우세하다
be quick,서두르다
be quite,v. 하다
be rambling,v. 만연하다
be registered,오르다
be released from prison,석방하다, 감옥에서 풀어주다
be remote,v. 멀다
be removed,v. 풀리다
be restless,v. 설레다
be retrained,v. 재교육받다
be right,옳다, 좋다
be scattered,점재하다
be scattered about,v. 산재하다
be self satisfied,v. 자만하다
be serious,v. 무겁다
be shaved,v. 밀리다
be sick of it,...에 넌더리 나다
be skilled,v. 익숙하다
be slow,v. 완만하다
be small,v. 작다
be snowed in,눈에 갇히다
be split,v. 분열하다
be stingy,v. 인색하다
be strong,v. 세다
be subordinate,v. 종속하다
be sucked,v. 빨리다
be suffocated,v. 질식하다
be sulky,v. 실쭉하다
be sunburned,v. 타다
be superior,v. 우세하다
be sure of,v. 믿다
be suspicious,v. 수상하다
be swept,v. 휩쓸리다
be swept away,깨끗하게 하다, 휩쓸어 가다 (육체적으로 또는 감정적으로)
be swift,v. 싸다
be talked about,v. 오르내리다
be the bank,v. 은행으로 되다
be the whole show,독무대를 이루다
be torn,v. 찢어지다
be tough,v. 질기다
be under the wardship of,v. ...의 후견을 받고 있다
be under ward,v. 감금되어 있다
be upon waver,v. 머뭇거리고 있다
be upset,v. 엎어지다
be used to,익숙해지다
be useful,v. 유용하다
be vague,v. 흐리다
be versed in,v. ...에 조예가 깊다
be very witty,v. 재기 발랄하다
be violent,v. 세다
be virtuous,v. 정렬하다
be voluntary,v. 유의하다, 유지하다
be weak,v. 약하다
be well versed,v. 화하다
be wet,v. 척척하다
be wide of the truth,v. 진리에서 멀리 벗어나 있다
be wild about,v. ...에 열중하다
be worth,만하다
be yet to do,v. 아직 ...하지 않고 있다
be yoked in marriage,v. 결혼으로 결합되다
be young,v. 젊다
be yourself,interj. 침착해라
be zonked out,v. 녹초가 되다, 푹 잠들다, 만취하다
beach,n. 물가, 바닷가, 해수욕장; v. 뭍에 밀어올리다, 뭍에 끌어올리다, 뭍에 얹히다
beach ball,비치 볼
beach umbrella,n. 양산
beach volleyball,n. 비치 배구
beachcomber,n. 큰 파도, 해변에서 물건을 줍는 사람, 부둣가 불량배, 부둣가 불량룸펜
beachhead,n. 상륙 거점
beachwear,n. 해변에서 입는 옷
beacon,n. 봉홧불; 등대; 안내표지
bead,n. 구슬;유리알; v. 구슬로 장식하다; 구슬이 되다, 방울방울 모으다
beading,n. 구슬 세공, 구슬 장식, 구슬선 장식, 구슬선
beadle,n. 교구
beadledom,n. 하급관리 근성
beads,n. 염주
beads of sweat,땀방울
beadwork,n. 비즈 세공, 비즈 장식
beady,adj. 구슬 같은, 구슬로 장식한
beagle,n. 비글, 사냥에 사용하는 작은 개
beak,n. 부리;주둥이; 매부리 코(속어) ;치안판사; 교장
beaker,n. 굽 달린 큰 컵; 화학 실험용의 비이커
beam,n. 광선; 전파; 환하게 짓는 미소; 건축구조물에 이용되는 금속이나 석재 빔; v. 기쁨으로 미소짓다; 빛나다; 빛을 발하다
beam at,v. 방송되다
beam balance,n. 대저울
beam of delight,n. 기쁜 듯한 얼굴
beaming,adj. 빛나는, 기쁨에 넘친, 명랑한, 화기가 도는
beamingly,adv. 환하게, 밝게; 명랑하게
bean,n. 콩;콩과의 식물;콩비슷한 열매;자바 인터넷 프로그램 언어와 같은 정해진 업무를 완수하기 위한 사용설명서; v. 머리를 치다
bean bag,n. 공기
bean feast,고용인에게 베푸는 잔치, 즐거운 잔치, 위안회
beanbag,n. 콩자루
beano,n. 고용인에게 베푸는 잔치
beanpole,n. 콩의 버팀대, 콩의 지주, 키다리
beansprout,n. 콩나물
beanstalk,n. 콩줄기
Beantown,n. 빈타운, 보스턴의 애칭
bear,v. 애를 낳다; v. 참다;지지하다;산출하다,낳다;고통을 견디다;나르다; n. 곰
bear a grudge,악의를 품다, 원한을 품다
bear arms,무기를 소유하다
bear children,아이를 갖다, 아이를 낳다
bear down,제압하다, 압도하다, 차차 다가오다
bear fruit,열매를 맺다
bear garden,n. 곰 사육장
bear hug,세게 껴안다
bear in mind,명심하다, 조심하다
bear leader,곰 부리는 사람
bear market,맥주 시장
bear out,지지하다, 확증하다, ...의 증거가 되다
bear responsibility,책임을 지다
bear the costs,v. 비용을 부담해 주다
bear up,...을 압박하다, ...에 기대다, ...에 관계가 있다, ...에 영향이 있다, 지탱하다
bear upon,...을 압박하다, ...에 기대다, ...에 관계가 있다, ...에 영향이 있다
bear with,용서하다, 참다
bear witness,...의 증언을 하다, ...의 증인을 하다, 증언하다
bearable,adj. 견딜 수 있는, 참을 수 있는, 견딜 만한
bearably,adv. 참을 만하게, 견딜만 하게
beard,n. 수염; v. ...의 수염을 꺼두르다, ...의 수염을 잡아뽑다, ...에게 공공연히 반항하다, ...에 수염을 달다, 깎아 내다
bearded,adj. 수염이 있는
beardless,adj. 수염이 없는
bearer,n. 운반꾼 또는 운반하는 것; 열매를 맺는 나무나 식물; 금전환을 보여주는 사람
bearing,n. 태도, 거동, 몸가짐; 영향; 방위, 방향; 기계의 베어링
bearing poles,n. 채
bearings,n. 문장
bearish,adj. 곰과 같은; (경제학) 주식가가 하락하는
bearskin,n. 곰가죽, 곰의 가죽, 곰 가죽 제품, 곰 가죽 옷, 검은 털모자, 거친 나사천
beast,n. 짐승, 가축
beast of prey,맹수
beastliness,n. 짐승 같은 짓
beastly,adj. 짐승 같은, 더러운; 잔인한
beat,n. 치기,때리기;맥박;리듬;치는 소리;노상다니는 지역;특종기사; v. 연달아 치다, 두들기다; 세게 휘젓다;패배시키다, ...을 능가하다, ...보다 우월하다; 금속을 두들기다; adj. 피로에 지쳐버린(속어) ; 비트족의; 단정치 못하게 옷입은
beat a drum,v. 둥둥 울리다
beat about the bush,요점을 얘기하지 않고 변죽을 두드리다
beat back,격퇴하다=
beat cotton out,v. 타다
beat down,때려 떨어뜨리다, 때려 넘어뜨리다, 압도하다, 내리쬐다, 깎다, 에누리하다
Beat Generation,비트족
beat group,n. 비이트 세대
beat in,쳐부수다
beat into,억지로 외게 하다
beat it,나가! ; 도망치다, 급히 떠나다
beat off,격퇴하다
beat out,밟아 끄다, 두들겨 늘이다, 규명하다, 쳐부수다
beat the wings,v. 날개치다, 퍼덕거리다
beat to a frazzle,v. 늘씬하게 두들겨패다
beat up,계속해서 치다, 휘젓다, 때리다
beatable,adj. 이길 만한, 능가할 만한
beaten,adj. 두들겨 맞은, 얻어 맞은, 진, 패배당한; 두들겨 늘인; 밟아 다진, 밟아 다져진
beater,n. 때리는 사람, 두들기는 기구, 휘젓는 기구
beatific,adj. 축복을 주는 힘이 있는, 행복에 빛나는, 기쁨이 넘치는
beatifical,adj. 축복을 주는 힘이 있는, 행복에 빛나는, 기쁨이 넘치는
beatification,n. 지복을 받음
beatify,v. 축복하다, 시복하다
beating,n. 때림, 치기; 패배
beatitude,n. 더할 나위 없는 행복, 여덟가지 참 행복, 지복, 정복
beatitudes,n. 그리스도가 산상수훈에서 가르친 복음
Beatle,n. 비틀, 록앤롤 그룹 비틀즈의 일원
beatnik,n. 비트족의 사람
beau,n. 멋쟁이, 멋쟁이 남자
beaufort scale,n. 보퍼트 풍력 계급
beaut,n. 근사한 사람, 미인
beauteous,adj. 우아한, 아름다운
beautician,n. 미용사; 미용실 경영자
beautification,n. 미화, 아름답게 함; 장식
beautiful,adj. 아름다운, 예쁜;보기 좋은, 미모의
beautiful coloring,n. 문채
beautiful girl,예쁜 여자, 아름다운 여자
beautiful people,n. 가인
beautiful voice,n. 미음
beautiful woman,n. 미인
beautifully,adv. 아름답게, 예쁘게, 멋있게, 훌륭하게
beautify,v. 아름답게 하다, 미화하다, 멋있게 하다, 훌륭하게 하다, 아름다워지다
beauty,n. 아름다움, 미인, 아름다운 것
beauty care,아름다움의 보살핌
beauty competition,n. 미인 경쟁
beauty contest,미인 콘테스트
beauty culture,n. 아름다움 버릇
beauty parlor,미장원
beauty queen,여왕
beauty salon,미장원
beauty shop,미장원
beauty sleep,얼굴을 좋게 하는 수면 또는 휴식
beauty specialist,n. 미용사
beauty spot,아름답다고 여겨지는 태어날 때부터 있는 얼굴점 또는 자국
Beauvoir,n. 보브와, 시몬느 드 보브와(프랑스 여권 운동가이며 작가, 
beaver,n. 비버, 해리, 강에서 떼지어 사는 설치류 동물; 비버 가죽털
becalm,v. 바람이 자서 나아갈 수 없게 하다, 잔잔하게 하다, 고요하게 하다
because,conj. 왜냐하면 ...이므로, 왜냐하면 ...이니까
because of,때문에, 까닭으로, 이므로
because of me,adv. 저덕분에, 저탓에
because of that,adv. 그것덕분에, 그것탓에
because of you,adv. 당신덕분에, 너탓에
bechamel,n. 볘샤멜 소스
beck,n. 끄덕임, 시내
beckon,v. 손짓으로 부르다, 고갯짓 따위로 특별한 방향을 가리키다; 꾀어 부르다
become,v. ...이 되다; ...에 알맞다, 어울리다, 적합하다
become active,v. 활기 띠다
become attached,v. 정들다
become betrothed,v. 정혼해지다, 약혼해지다
become blear,v. 풀어지다
become calm,v. 진정하다
become chapped,v. 헤어지다
become civilized,v. 열리다
become cloudy,v. 흐리다
become corrupt,v. 부패하다
become deaf,먹다
become dirty,끼다
become dull,v. 둔해지다
become effective,발효하다
become enlightened,v. 깨닫다
become erect,v. 발기하다
become heavy,v. 썩다
become hot,뜨거워지다
become intimately acquainted,v. 친해지다
become sober,v. 깨다
become stained,v. 얼룩지다
become stale,뜨다
become thin,v. 여위다, 상하다, 야위다
become warm,v. 풀리다
become weak,쇠하다
become wrinkled,v. 주름이 잡히다
becoming,adj. 어울리는, 적당한; v. ~이 되다; 어울리다; n. ...이 됨, ...이 되어 가는 과정
becomingly,adv. 알맞게, 잘 어울리게, 적합하게
bed,n. 침대; 바다나 강 등의 바닥 ; 모판, 지층; v. 잠자리를 주다, 깃을 깔아 주다, 꽃밭에 심다, 묘상에 심다, 눕혀 놓다, 묻다, 자다, 함께 자다, 자리잡다, ...위에 자리잡다, 지층을 형성하다
bed curtains,침대 커튼
bed down,v. 마련해 주다
bed in,v. 심다
bed linen,침구용 리넨천
bed of roses,편안하고 호화스러운 상태
bed rest,침대에서 쉬기
bed sitter,침실겸 살림방
bed sitting room,침실 겸용의 방, 거실 겸용의 방
bed wetting,야뇨증
bed-and-breakfast,아침을 제공하는 호스텔 또는 숙박집bed-and-breakfast (B&B)
bedaub,v. 더덕더덕 칠하다, 더덕더덕 빌라 대다, 천하게 꾸미다
bedazzle,v. 현흑시키다, 당황하게 하다
bedbug,n. 빈대
bedchamber,n. 침실
bedclothes,n. 침구
bedcover,n. 침대보, 침대커버
bedding,n. 침구, 깔깃, 깔짚, 토대, 이부자리
bedeck,v. 꾸미다, 장식하다
bedel,n. 총장의 권표를 받드는 속관
bedell,n. 총장의 권표를 받드는 속관
bedevil,v. 악마에게 흘리게 하다, 귀신들리게 하다, 혼란시키다, 마음을 어지럽히다, 몹시 괴롭히다
bedew,v. 이슬로 축축하게 하다, 눈물 따위로 축축하게 하다
bedewed,adj. 이슬로 축축하게 한, 눈물 따위로 축축하게 한
bedfellow,n. 잠자리를 같이 하는 사람
bedframe,n. 침대의 기본 틀을 구성하는 커다란 직사각형의 틀
bedgown,n. 잠옷
bedlam,n. 미친 짓
bedlamite,n. 미친 사람
Bedouin,adj. 베두인의; n. 베두인 민족( 사막의 유목민); 방랑인, 유목민
bedpan,n. 탕파
bedpost,n. 침대 기둥
bedraggled,adj. 함빡 젖은; 더러워진, 꾀죄죄한
bedrest,n. 침대에 누워 휴양함
bedridden,adj. 자리에 누운, 누워만 있는( 일반적으로 병 때문에)
bedrock,n. 반암, 기반암; 근저, 기초
bedroom,n. 침실
bedroom slipper,n. 뒤축이 없는 부드러운 슬리퍼
bedsheet,n. 침대보, 침대에 씌우는 천
bedside,n. 침대곁( 특히 환자의 침대 머리맡); adj. 침대옆면의
bedside lamp,n. 머리맡의 등
bedside manner,n. 병상의 환자에 대한 의사의 태도
bedside table,머리맡의 테이블
bedsocks,n. 침대에서 신고 자는 털스타킹, 침실 양말
bedsore,n. 욕창
bedspread,n. 침대 덮개( 담요 또는 누비이불)
bedspring,n. 침대 스프링
bedstead,n. 침대의 뼈대
bedstraw,n. 침대의 속짚, 갈퀴덩굴 속의 풀
bedtick,n. 잇
bedtime,n. 취침시간
bedtime stories,(대개 어린이에게) 잠자리 가기 전에 읽어주는 이야기
bedtime story,n. 취침시의 옛날 이야기, 재미있지만 믿기 어려운 이야기
bee,n. 꿀벌, 벌; 특정한 목적을 가진 사람들의 모임(퀼트 모임 등)
bee eater,딱새류
bee keeper,양봉가>
bee keeping,양봉
beech,n. 너도밤나무; 너도밤나무 목재
beech nut,n. 너도밤나트
beech tree,n. 너도밤나무
beech wood,n. 너도밤나무 재목
beechwood,n. 해변가 나무에서 얻어지는 목재
beef,n. 쇠고기; 근육; v. 불평하다
beef flank,n. 추리
beef round,n. 뭉치
beef soup,쇠고기 수프, 쇠고기 국물로 맛을 낸 국
beef tea,진한 곰국, 쇠고기를 고아만든 자양 음료
beef up,강화하다, 보강하다
beefburger,n. 쇠고기부르기
beefcake,n. 늠름한 남자의 육체미 사진
beefeater,n. 쇠고기를 먹는 사람, 영양이 좋은 사람, 영국왕의 호위병, 런던탑의 수위
beefsteak,n. 비프스테이크
beefy,adj. 육이 건장한, 강한; 살이 찐
beehive,n. 벌집, 벌들이 사는 곳; 사람이 붐비는 장소
beekeeper,n. 양봉업자, 벌을 키우는 사람
beelike,adj. 꿀벌 같은
beeline,n. 직선, 일직선, 직행
Beelzebub,n. 바알세불
beemaster,n. 양봉가
beep,n. 삑 하는 소리( 종종 전기장치의 경보 또는 신호음); v. 삑 하고 경적을 울리다
beeper,n. 호출기, 전화 왔슴을 알리는 신호발신기
beer,n. 맥주
beer bottle,n. 맥주병
beer brewery,n. 맥주양조장
beer mat,팁, 행하
beer pull,n. 사슴의 뿔
Beer-Sheva,베르-쉐바, 이스라엘의 남부에 있는 도시>
beerhouse,n. 비어 홀
Beertown,n. 비어타운, 미국의 위스콘신주에 있는 밀워키의 애칭
beery,adj. 맥주의, 맥주같은, 맥주에 취한
beestings,n. 초유
beeswax,n. 밀랍, 꿀벌들이 집을 지을 때 사용하는 끈적끈적한 물질
beeswax candle,n. 밀초
beeswing,n. 얇은 더껑이
beet,n. 사탕무우, 채소
beet root,n. 사탕무의 뿌리, 사탕당근의 뿌리, 근대의 뿌리
Beethoven,n. 베토벤,루드비히 반 베토벤(1770-1827), 독일의 유명한 작곡가
beetle,n. 갑충; 큰 망치
beetle along,v. 빨랑빨랑 나가다
beetle off,빨랑빨랑 나가다
beetling,adj. 튀어나온
BEF,영국 원정 부대, 해외에 파견되는 영국 군대( 특히 1차 세계대전 중에)#BEF (British Expeditionary Forces)
befall,v. 일어나다, 생기다, 닥치다
befit,v. ...하기에 알맞다, 어울리다
befitting,adj. 적합한, 알맞은, 어울리는
befog,v. 짙은 안개로 덮다, 흐리게 하다, 난처하게 하다, 어리둥절하게 하다, 얼떨떨하게 하다
before,adv. 이전에, 일찍이, 이미; conj. 앞서서, ...보다 먼저, 전에, ...하기 전에; prep. ...의 앞에, ...의 면전에
before Christ,기원전, 예수탄생 이전의 시대
before dawn,날이 새기 전에, 날이 동트기 전에
before daybreak,새벽 전에
before it's too late,너무 늦기 전에
before last,그저께 ...
before long,오래지 않아, 곧
before one's eyes,눈앞에서, 누군가의 눈앞에서
before tax,adj. 세금을 포함한
before that,adv. 그것앞에
before the appointed time,정각에
before the wind,바람을 따라서
before what,adv. 무엇이든지앞에
beforehand,adv. 이전에, 미리, 사전에
befoul,v. 더럽히다, 어지럽히다, 헐뜯다, ...에 휘감기다
befriend,v. 친구가 되다; 도와주다, 편들어 주다
befuddle,v. ...의 정신을 잃게 하다, 곤혹케 하다, 어리둥절하게 하다
befuddled,adj. ...의 정신을 잃게 한, 곤혹케 한, 어리둥절하게 한
beg,v. 구걸하다, 애걸하다; 빌다, 간청하다
beg for mercy,자비를 구하다
beg the question,논점이 되어 있는 것을 사실로 가정하고 논의를 계속하다, 논점을 교묘히 피하다
beg your pardon,용서해 주십시오, 실례했습니다, 실례이지만, 죄송하지만 다시 한 번 말씀해 주세요
beget,v. 생기게 하다, 초래하다; 아버지가 자식을 보다, 낳다
begetter,n. 자식을 보는 사람, 생기게 하는 사람
beggar,n. 거지, 구걸하는 사람; v. 가난들게 하다, 빈약하게 하다
beggarliness,n. 가난, 극빈, 궁핍
beggarly,adj. 거지 같은; 가난한, 무일푼의; 인색한, 빈약한, 초라한
beggary,n. 거지신세, 거지, 거지 생활, 거지 사회
begged for help,도움을 요청하다, 도움을 간청하다
begging,n. 구걸
begging letter,n. 구걸 편지
begin,v. 시작하다, 착수하다
begin singing,v. 노래하기 시작하다
begin to seethe,v. 행동하기 시작하다
begin to sell,v. 개시하다
begin to wonder,v. 걸어가기 시작하다
begin you,자네
beginner,n. 초심자, 초보자
beginner's luck,처음 배우는 사람에게 따른다는 재수
beginning,n. 처음, 시초, 시작; adj. 생성 초기의, 형성 초기의; 시작의, 서두의
begone,interj. 가라, 물러가라
begonia,n. 베고니아
begrime,v. 더럽히다
begrudge,v. 시기하다, 아까워하다, 꺼려하다
begrudgingly,adv. 마지못해, 아까운 듯이
beguile,v. 헷갈리게 하다, 속이다; 기쁘게 하다, 위로하다; 현혹시키다; 기만하다, 설득시키다
beguiling,adj. 속이는, 기만하는, 기분 전환의, 심심풀이의
behalf,n. 대신함; 편들기
behave,v. 예절바르게 행동하다, 얌전하다, 예절바르다
behave oneself,적절하게 처신하다
behave well,옳바르게 행동하다
behaved,adj. 행동이 ...한, 행위가 ...한
behavior,n. 행실, 행동
behavioral,adj. 행동의, 행동에 관한
behaviorism,n. 행동주의, 관찰할 수 있는 측정할 수 있는 행동에 초점을 두는 심리학 유파
behaviorist,n. 행동주의자; adj. 행동주의자의
behavioristic,adj. 행동주의의
behaviour,n. 행실, 행동, 가동, 태
behaviourism,n. 행동주의
behaviourist,adj. 행동주의자의, 행동주의의; n. 행동주의자
behead,v. 목을 베다, 참수형에 처하다
beheading,n. 목을 베기, 참수형에 처하기, 참수
behemoth,n. 거대한 짐승
behest,n. 명령
behind,n. 궁둥이, 후미; adv. 늦어서, 늦게; prep. ...의 뒤에, ...을 지지하여
behind bars,옥중에, 옥중에서
behind one's back,누구의 등뒤에서 험담하다, 누구의 등뒤에서 나쁜 짓을 하다
behind someone's back,adv. 비밀리에, 몰래, 남이 없을 때
behind that,adv. 그것뒤에
behind the scenes,무대 뒤에서
behindhand,adj. 늦어진, 뒤떨어진, 밀린
